1,Lee Iacocca,"Motivation is everything. You can do the work of two people, but you can't be two people. Instead, you have to inspire the next guy down the line and get him to inspire his people."
2,Lee Iacocca,"In a completely rational society, the best of us would be teachers and the rest of us would have to settle for something else."
3,Lee Iacocca,"Do you want me to tell you something really subversive Love is everything it's cracked up to be. That's why people are so cynical about it. . . . It really is worth fighting for, being brave for, risking everything for. And the trouble is, if you don't risk anything, you risk even more."
4,Lee Iacocca,Management is nothing more than motivating other people.
5,Lee Iacocca,"No matter what you've done for yourself or for humanity, if you can't look back on having given love and attention to your own family, what have you really accomplished"
6,Lee Iacocca,"My father always used to say that when you die, if you've got five real friends, then you've had a great life."
7,Lee Iacocca,"You can have brilliant ideas, but if you can't get them across, your ideas won't get you anywhere."
8,Lee Iacocca,Incompetency begets incompetency. The last thing a guy who isn't sure of himself wants is a guy backing him up who is sure of himself.
9,Lee Iacocca,"A true friend is the greatest of all blessings, and that which we take the least care of all to acquire."
10,Lee Iacocca,People want economy and they will pay any price to get it.
11,Lee Iacocca,The trick is to make sure you don't die waiting for prosperity to come.
12,H.L. Mencken,"The whole aim of practical politics is to keep the populace in a continual state of alarm (and hence clamorous to be led to safety) by menacing them with an endless series of hobgoblins, all of them imaginary."
13,H.L. Mencken,"The penalty for laughing in a courtroom is six months in jail if it were not for this penalty, the jury would never hear the evidence."
14,H.L. Mencken,Imagine the Creator as a stand up commedian - and at once the world becomes explicable.
15,H.L. Mencken,"We must respect the other fellow's religion,but only in the sense and to the extent that we respect his theory that his wife is beautiful and his children smart."
16,H.L. Mencken,It is hard to believe that a man is telling the truth when you know that you would lie if you were in his place.
17,H.L. Mencken,"Communism, like any other revealed religion, is largely made up of prophecies."
18,H.L. Mencken,"JUDGE, n A law student who marks his own papers."
19,H.L. Mencken,A celebrity is one who is known to many persons he is glad he doesn't know.
20,H.L. Mencken,Any man who afflicts the human race with ideas must be prepared to see them misunderstood.
21,H.L. Mencken,"A cynic is a man who, when he smells flowers, looks around for a coffin."
22,H.L. Mencken,A home is not a mere transient shelter its essence lies in the personalities of the people who live in it.
23,H.L. Mencken,All men are frauds. The only difference between them is that some admit it. I myself deny it.
24,H.L. Mencken,"All successful newspapers are ceaselessly querulous and bellicose. They never defend anyone or anything if they can help it if the job is forced on them, they tackle it by denouncing someone or something else."
25,H.L. Mencken,"All zoos actually offer to the public in return for the taxes spent upon them is a form of idle and witless amusement, compared to which a visit to a penitentiary, or even to a State legislature in session, is informing, stimulating and ennobling."
26,H.L. Mencken,A poet more than thirty years old is simply an overgrown child.
27,H.L. Mencken,"An idealist is one who, on noticing that a rose smells better than a cabbage, concludes that it will also make better soup."
28,H.L. Mencken,Giving every man a vote has no more made men wise and free than Christianity has made them good.
29,H.L. Mencken,Democracy is the theory that the common people know what they want and deserve to get it good and hard.
30,H.L. Mencken,Every decent man is ashamed of the government he lives under.
